ID_REF,VALUE
100289251_at,4.9149
100289255_at,4.1341
100289274_at,6.4257
100289341_at,6.9164
100289361_at,6.0345
100289373_at,5.2183
100289410_at,5.0652
100289495_at,4.7958
100289509_at,4.2997
100289635_at,8.0284
100289678_at,6.7669
100292680_at,4.5887
100293516_at,8.4962
100294362_at,3.551
100294720_at,4.3643
1003_at,4.3387
100302650_at,5.2071
100302691_at,4.0124
100302740_at,3.5684
100303728_at,5.2162
100303755_at,10.071
100306951_at,10.546
100309464_at,3.499
100316868_at,3.9732
100316904_at,6.1887
100329135_at,3.5713
100359394_at,3.3936
10036_at,6.9851
100379224_at,3.378
100379661_at,3.4442
10038_at,10.598
100381270_at,7.5198
10039_at,6.2862
1004_at,3.7277
10040_at,9.6423
10042_at,9.4222
100422737_at,3.8815
10043_at,5.8507
10044_at,3.6982
10045_at,6.3262
10046_at,5.2384
10047_at,4.263
10048_at,8.8647
10049_at,8.8294
100498859_at,4.2435
100499177_at,11.104
100499194_at,4.3763
100499466_at,7.6882
100499467_at,6.7414
100499489_at,4.3615
1005_at,4.0767
10050_at,4.4949
100500850_at,7.5882
100505474_at,3.5174
100505478_at,4.738
100505481_at,4.5828
100505483_at,5.1507
100505484_at,3.4762
100505487_at,7.9187
100505490_at,7.8133
100505491_at,3.8
100505495_at,3.8553
100505498_at,3.9356
100505500_at,4.4833
100505501_at,5.8009
100505515_at,3.9057
100505518_at,3.566
100505519_at,7.5053
100505525_at,3.3807
100505533_at,3.6579
100505536_at,4.0817
100505538_at,4.3527
100505540_at,3.7527
100505545_at,3.6221
100505547_at,4.8249
100505549_at,4.1834
100505554_at,4.3929
100505555_at,3.7504
100505562_at,4.9118
100505564_at,3.4873
100505565_at,3.4763
100505570_at,4.0664
100505572_at,3.6301
100505573_at,8.6191
100505574_at,3.9026
100505576_at,6.6036
100505583_at,3.5623
100505592_at,3.9086
100505598_at,3.6097
100505601_at,4.3535
100505606_at,4.2301
100505609_at,3.704
100505616_at,9.8808
100505619_at,3.937
100505622_at,3.8463
100505624_at,3.8899
100505633_at,3.9428
100505634_at,5.7736
100505635_at,3.9285
100505639_at,4.9075
100505641_at,9.723
100505644_at,4.4839
100505649_at,3.552
100505650_at,3.7125
100505657_at,4.0186
100505658_at,3.6342
100505659_at,4.0135
100505664_at,3.7146
100505666_at,4.8242
100505668_at,5.0409
100505676_at,3.9243
100505681_at,4.6767
100505683_at,4.0772
100505685_at,3.6256
100505686_at,3.8016
100505687_at,10.042
100505697_at,4.1304
100505702_at,3.7065
100505709_at,3.2658
100505710_at,6.1466
100505711_at,5.3112
100505715_at,8.6861
100505716_at,3.8312
100505718_at,3.5107
100505725_at,3.8121
100505727_at,3.7578
100505729_at,5.868
100505730_at,6.6502
100505735_at,3.8034
100505738_at,6.2482
100505741_at,3.9143
100505746_at,4.367
100505750_at,3.8555
100505758_at,4.6598
100505760_at,3.6357
100505761_at,6.512
100505763_at,6.4681
100505768_at,3.4321
100505773_at,4.8012
100505774_at,4.1465
100505776_at,3.4327
100505782_at,3.617
100505783_at,6.6861
100505784_at,3.6188
100505786_at,4.252
100505792_at,9.6317
100505794_at,4.0356
100505797_at,3.5107
100505801_at,3.4946
100505806_at,4.1343
100505811_at,3.7164
100505820_at,4.4125
100505826_at,4.9305
100505828_at,3.935
100505832_at,3.3441
100505835_at,3.7147
100505838_at,3.7851
100505839_at,4.0906
100505841_at,3.7003
100505851_at,3.9738
100505853_at,4.411
100505854_at,8.334
100505862_at,3.4737
100505870_at,4.1957
100505875_at,3.7051
100505876_at,8.1664
100505877_at,3.5831
100505878_at,3.4427
100505879_at,4.3243
100505880_at,7.7388
100505881_at,3.7126
100505890_at,4.2981
100505893_at,3.5891
100505894_at,5.3188
100505903_at,3.8383
100505904_at,3.6326
100505905_at,5.8447
100505906_at,3.928
100505908_at,3.6309
100505912_at,4.2522
100505918_at,4.4348
100505920_at,4.1176
100505928_at,3.5038
100505929_at,3.4935
100505930_at,5.7569
100505932_at,5.7039
100505933_at,3.858
100505938_at,4.1031
100505942_at,4.7424
100505946_at,6.4993
100505947_at,4.032
100505960_at,3.6403
100505963_at,3.8432
100505964_at,4.3104
100505967_at,3.4797
100505971_at,4.9233
100505974_at,4.3746
100505975_at,5.1719
100505976_at,3.9279
100505978_at,3.7527
100505983_at,3.6531
100505985_at,3.9907
100505986_at,3.5477
100505989_at,3.5407
100506003_at,3.3317
100506012_at,4.4198
100506013_at,3.4983
100506014_at,6.1293
100506016_at,3.3341
100506021_at,3.9562
100506025_at,3.6416
100506029_at,6.3763
100506030_at,3.555
100506034_at,3.772
100506046_at,4.5291
100506047_at,4.0006
100506049_at,4.5311
100506051_at,4.9689
100506054_at,6.2681
100506057_at,5.7017
100506059_at,3.742
100506063_at,4.1934
100506068_at,3.7003
100506070_at,3.6854
100506071_at,3.5761
100506072_at,4.0331
100506075_at,4.8572
100506080_at,5.0986
100506082_at,4.6142
100506083_at,3.6139
100506088_at,3.6733
100506089_at,3.9097
100506098_at,10.083
100506102_at,3.9347
100506104_at,3.9447
100506105_at,4.2823
100506107_at,3.6984
100506108_at,3.5932
100506113_at,4.5085
100506115_at,4.5698
100506119_at,10.364
100506120_at,4.2667
100506122_at,3.8922
100506124_at,4.2068
100506125_at,3.7658
100506126_at,3.8227
100506128_at,3.8
100506130_at,8.8557
100506144_at,9.5223
100506154_at,3.4342
100506161_at,4.9474
100506165_at,3.4266
100506168_at,9.9966
100506172_at,3.2498
100506174_at,3.8786
100506175_at,4.1336
100506189_at,3.9339
100506190_at,6.0528
100506195_at,3.6523
100506201_at,6.9514
100506206_at,3.508
100506207_at,3.7687
100506211_at,6.3767
100506215_at,4.0058
100506216_at,3.6696
100506219_at,4.0773
100506226_at,3.7106
100506229_at,3.6707
100506231_at,5.2862
100506233_at,8.7419
100506236_at,3.5766
100506237_at,3.8746
100506238_at,3.6033
100506243_at,3.7631
100506245_at,5.2481
100506247_at,3.4804
100506251_at,4.0112
100506252_at,4.2677
100506258_at,3.7112
100506259_at,4.2517
100506262_at,6.4774
100506267_at,3.6891
100506268_at,5.8295
100506271_at,4.473
100506272_at,3.52
100506274_at,3.36
100506275_at,4.5873
100506286_at,3.3461
100506288_at,4.0005
100506289_at,3.3589
100506291_at,3.5665
100506295_at,6.8035
100506302_at,6.0821
100506311_at,10.863
100506312_at,4.0752
100506314_at,5.2778
100506319_at,4.8737
100506325_at,5.4696
100506327_at,3.9491
100506331_at,3.526
100506342_at,8.2653
100506343_at,4.9351
100506348_at,3.9476
100506351_at,3.9057
100506354_at,3.8815
100506358_at,3.7723
100506365_at,8.9348
100506368_at,4.2919
100506371_at,3.5936
100506373_at,5.4701
100506374_at,4.7373
100506377_at,3.8262
100506379_at,3.6262
100506380_at,5.0645
100506385_at,3.5062
100506387_at,3.5433
100506388_at,3.9268
100506392_at,6.7994
100506397_at,3.6836
100506403_at,3.7206
100506405_at,3.8109
100506406_at,4.2802
100506409_at,3.8876
100506413_at,3.5307
100506414_at,4.2692
100506415_at,3.6249
100506418_at,4.8051
100506419_at,5.3546
100506421_at,4.191
100506425_at,5.1086
100506428_at,6.0706
100506430_at,4.6719
100506431_at,3.9907
100506433_at,3.8534
100506436_at,4.305
100506439_at,4.5126
100506446_at,3.7863
100506457_at,4.3915
100506459_at,3.6808
100506462_at,3.5397
100506465_at,3.9058
100506469_at,7.3632
100506470_at,4.3392
100506473_at,6.191
100506475_at,3.3356
100506476_at,5.9447
100506480_at,4.8121
100506484_at,3.6816
100506485_at,3.7448
100506489_at,3.3119
100506492_at,3.85
100506494_at,3.9442
100506495_at,3.3292
100506496_at,3.7277
100506497_at,4.1653
100506498_at,3.4736
100506502_at,4.4762
100506504_at,4.8658
100506521_at,4.2959
100506526_at,3.9895
100506527_at,4.4881
100506530_at,3.4854
100506540_at,4.3125
100506542_at,3.4231
100506546_at,4.0845
100506548_at,8.4325
100506553_at,4.2281
100506555_at,3.6998
100506557_at,3.6234
100506558_at,3.6401
100506559_at,4.1211
100506561_at,5.415
100506571_at,4.3091
100506577_at,3.4228
100506581_at,5.4222
100506582_at,3.9248
100506585_at,4.5278
100506591_at,4.029
100506597_at,4.0703
100506599_at,5.1639
100506606_at,4.4103
100506609_at,4.266
100506622_at,4.1909
100506627_at,3.3426
100506629_at,3.7159
100506642_at,4.3899
100506649_at,6.7544
100506651_at,5.904
100506652_at,3.5427
100506655_at,4.6577
100506659_at,5.0405
100506660_at,3.6646
100506661_at,5.8061
100506668_at,6.1942
100506671_at,3.6759
100506675_at,4.1857
100506676_at,5.2964
100506677_at,4.0719
100506679_at,3.7266
100506680_at,4.1255
100506681_at,3.6958
100506684_at,3.9424
100506686_at,6.5367
100506687_at,10.111
100506691_at,5.1761
100506694_at,7.2905
100506696_at,6.3325
100506697_at,3.2422
100506708_at,4.3569
100506710_at,9.5823
100506713_at,4.4126
100506714_at,6.1297
100506718_at,6.3578
100506724_at,3.4408
100506725_at,3.9054
100506730_at,5.8507
100506731_at,3.9741
100506733_at,3.2558
100506742_at,3.8352
100506748_at,10.093
100506755_at,4.0086
100506757_at,3.2866
100506758_at,3.9243
100506762_at,4.0036
100506765_at,3.3793
100506767_at,3.3895
100506769_at,3.5286
100506776_at,3.5094
100506777_at,4.0598
100506779_at,4.4536
100506783_at,4.5235
100506790_at,3.5536
100506791_at,3.542
100506795_at,3.4356
100506797_at,5.0988
100506798_at,6.7147
100506802_at,5.8244
100506813_at,5.419
100506815_at,5.9911
100506816_at,3.6132
100506817_at,4.4324
100506821_at,5.1092
100506826_at,5.7748
100506827_at,4.0177
100506828_at,5.406
100506831_at,4.2903
100506834_at,4.1747
100506838_at,4.0517
100506840_at,3.5968
100506844_at,7.3914
100506847_at,6.4053
100506848_at,5.7731
100506851_at,3.6139
100506853_at,4.4113
100506858_at,4.3386
100506860_at,4.6444
100506863_at,6.0479
100506866_at,6.9558
100506870_at,4.9958
100506874_at,3.6727
100506880_at,3.6562
100506882_at,4.8093
100506895_at,4.6211
100506897_at,6.1503
100506898_at,5.5754
100506906_at,3.8546
100506907_at,3.8004
100506914_at,4.4283
100506922_at,6.9859
100506926_at,3.5293
100506929_at,4.0769
100506930_at,4.0554
100506935_at,8.8312
100506941_at,5.1803
100506948_at,3.8256
100506963_at,7.5704
100506965_at,3.7567
100506972_at,3.9392
100506974_at,3.4363
100506983_at,3.7506
100506994_at,3.6018
100506995_at,5.0813
100506997_at,4.2418
100506999_at,3.2812
100507000_at,3.8091
100507006_at,4.9686
100507007_at,4.3148
100507008_at,3.7695
100507009_at,4.9193
100507013_at,4.088
100507015_at,7.3218
100507024_at,4.5404
100507025_at,4.1699
100507027_at,3.8135
100507033_at,3.8653
100507034_at,4.2156
100507039_at,3.4568
100507040_at,4.1254
100507043_at,4.2929
100507047_at,4.7862
100507049_at,3.92
100507054_at,4.606
100507057_at,6.9272
100507058_at,3.753
100507062_at,5.2908
100507064_at,3.5163
100507065_at,4.4126
100507066_at,3.6926
100507077_at,4.1082
100507082_at,3.598
100507086_at,4.8863
100507094_at,5.4143
100507098_at,3.6378
100507099_at,3.4982
100507106_at,5.4921
100507108_at,4.5916
100507109_at,4.0383
100507110_at,8.3089
100507111_at,5.1079
100507114_at,3.595
100507135_at,3.5623
100507140_at,3.649
100507143_at,3.6319
100507146_at,4.3163
100507150_at,4.3446
100507156_at,4.8198
100507160_at,3.2979
100507162_at,3.5793
100507164_at,3.7193
100507165_at,3.9243
100507168_at,5.8229
100507171_at,6.2496
100507173_at,3.7382
100507186_at,6.2696
100507190_at,4.2657
100507193_at,3.5568
100507194_at,3.9962
100507201_at,3.4407
100507206_at,4.3177
100507212_at,6.3346
100507213_at,6.6659
100507217_at,11.555
100507218_at,4.812
100507221_at,3.2954
100507224_at,4.121
100507226_at,4.771
100507228_at,3.803
100507229_at,3.879
100507235_at,4.0609
100507239_at,8.1811
100507240_at,3.4162
100507244_at,3.8622
100507246_at,12.716
100507250_at,4.1558
100507253_at,3.6988
100507254_at,4.1092
100507257_at,4.8506
100507261_at,4.3897
100507263_at,4.0743
100507265_at,3.6598
100507266_at,4.0479
100507267_at,3.7624
100507274_at,3.5634
100507277_at,4.0728
100507278_at,4.7166
100507283_at,5.5105
100507288_at,3.8349
100507290_at,4.9271
100507291_at,6.7001
100507297_at,7.2586
100507299_at,4.3816
100507300_at,3.6946
100507303_at,9.5719
100507309_at,6.6601
100507311_at,6.7922
100507314_at,7.3214
100507316_at,6.1355
100507319_at,5.7446
100507321_at,5.0845
100507322_at,4.1653
100507330_at,4.1594
100507331_at,5.5675
100507332_at,4.6547
100507338_at,7.1671
100507345_at,6.5511
100507351_at,4.0317
100507353_at,3.4179
100507360_at,6.9226
100507362_at,4.5305
100507364_at,5.7733
100507372_at,7.0169
100507376_at,6.9775
100507378_at,5.5117
100507384_at,3.5722
100507389_at,3.8724
100507390_at,4.0637
100507391_at,4.2027
100507392_at,5.3426
100507398_at,5.6484
100507399_at,7.9552
100507403_at,4.3196
100507408_at,3.9899
100507410_at,3.9001
100507419_at,4.1329
100507421_at,4.1925
100507423_at,4.1759
100507424_at,6.9682
100507425_at,4.7968
100507428_at,3.6795
100507429_at,3.8406
100507433_at,4.6598
100507436_at,8.4477
100507440_at,6.9857
100507443_at,4.2517
100507448_at,6.8866
100507449_at,3.835
100507461_at,3.8253
