ID_REF,VALUE,Description
145497_at,3.443,chromosome 14 open reading frame 166B
145581_at,3.9403,leucine rich repeat and fibronectin type III domain containing 5
145645_at,3.3292,chromosome 15 open reading frame 43
145663_at,3.5001,uncharacterized LOC145663
145694_at,3.9525,uncharacterized LOC145694
145741_at,3.9254,C2 calcium-dependent domain containing 4A
145820_at,3.8149,uncharacterized LOC145820
145837_at,3.8765,uncharacterized LOC145837
145858_at,3.4602,chromosome 15 open reading frame 32
145942_at,3.5665,transmembrane and coiled-coil domains 5A
145957_at,3.7035,neuregulin 4
146_at,3.7669,"adrenergic, alpha-1D-, receptor"
146279_at,3.9007,tektin 5
146310_at,3.843,ring finger protein 151
146378_at,3.8452,chromosome 16 open reading frame 92
146513_at,3.6642,uncharacterized LOC146513
146556_at,3.8001,chromosome 16 open reading frame 89
146713_at,3.9011,"RNA binding protein, fox-1 homolog (C. elegans) 3"
146723_at,3.3509,chromosome 17 open reading frame 77
146850_at,3.6268,"phosphoinositide-3-kinase, regulatory subunit 6"
146853_at,3.8348,chromosome 17 open reading frame 50
146861_at,3.4142,"solute carrier family 35, member G3"
146862_at,3.676,unc-45 homolog B (C. elegans)
1469_at,3.6561,SN
1470_at,3.2978,SA
147183_at,3.5205,keratin 25
147199_at,3.5343,"secretoglobin, family 1C, member 1"
1473_at,3.9222,D
147381_at,3.8652,cerebellin 2 precursor
147429_at,3.3341,CHST9 antisense RNA 1 (non-protein coding)
147670_at,3.8126,uncharacterized LOC147670
147687_at,3.9527,zinc finger protein 417
147741_at,3.3459,zinc finger protein 560
147872_at,3.8887,coiled-coil domain containing 155
147945_at,3.6754,"NLR family, pyrin domain containing 4"
148_at,3.6746,"adrenergic, alpha-1A-, receptor"
148109_at,3.7246,"family with sequence similarity 187, member B"
148145_at,3.6176,uncharacterized LOC148145
148203_at,3.8108,zinc finger protein 738
148229_at,3.8594,"ATPase, aminophospholipid transporter, class I, type 8B, member 3"
148252_at,3.9773,"DIRAS family, GTP-binding RAS-like 1"
148581_at,3.3128,ubiquitin-conjugating enzyme E2U (putative)
148696_at,3.8735,uncharacterized LOC148696
148709_at,3.9735,actin pseudogene
148738_at,3.6743,hemochromatosis type 2 (juvenile)
148753_at,3.8265,"family with sequence similarity 163, member A"
148823_at,3.6437,chromosome 1 open reading frame 150
148824_at,3.5363,uncharacterized LOC148824
148870_at,3.9623,coiled-coil domain containing 27
148930_at,3.8091,kinocilin
149018_at,3.5164,late cornified envelope-like proline-rich 1
149047_at,3.3159,uncharacterized MGC27382
149086_at,3.8816,arginine decarboxylase pseudogene
149095_at,3.8679,DC-STAMP domain containing 1
149134_at,3.8269,uncharacterized LOC149134
149233_at,3.585,interleukin 23 receptor
1493_at,3.8707,T-lymphocyte-associated protein 4
149428_at,3.7997,BCL2/adenovirus E1B 19kD interacting protein like
149499_at,3.6523,leucine rich repeat containing 71
149563_at,3.8741,chromosome 1 open reading frame 64
149620_at,3.4428,CHIA-like pseudogene
149628_at,3.4255,"pyrin and HIN domain family, member 1"
149643_at,3.4704,chromosome 1 open reading frame 227
149647_at,3.8678,"family with sequence similarity 71, member A"
149650_at,3.3875,uncharacterized protein FLJ32154
149708_at,3.6926,WAP four-disulfide core domain 5
149830_at,3.7254,prion protein (testis specific)
149998_at,3.642,"lipase, member I"
15_at,3.6235,aralkylamine N-acetyltransferase
150_at,3.5993,"adrenergic, alpha-2A-, receptor"
150000_at,3.6658,"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"
150084_at,3.7324,"immunoglobulin superfamily, member 5"
1501_at,3.7036,"(cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)"
150159_at,3.8265,"solute carrier family 9, subfamily B (cation proton antiporter 2), member 1"
150160_at,3.8073,"chaperonin containing TCP1, subunit 8 (theta)-like 2"
150280_at,3.7877,HORMA domain containing 2
150297_at,3.8022,chromosome 22 open reading frame 42
150350_at,3.468,ENTH domain containing 1
150353_at,3.4755,"DnaJ (Hsp40) homolog, subfamily B, member 7"
150356_at,3.9332,chondroadherin-like
150538_at,3.6227,uncharacterized LOC150538
150568_at,3.6664,uncharacterized LOC150568
150572_at,3.6502,SET and MYND domain containing 1
150577_at,3.7323,uncharacterized LOC150577
150596_at,3.757,uncharacterized protein FLJ32955
150622_at,3.6809,uncharacterized LOC150622
150677_at,3.9481,otospiralin
150709_at,3.5315,ankyrin and armadillo repeat containing
150992_at,3.5571,long intergenic non-protein coding RNA 309
151050_at,3.8868,chromosome 2 open reading frame 67
151112_at,3.3853,"zinc finger, SWIM-type containing 2"
151121_at,3.6998,uncharacterized LOC151121
151126_at,3.5174,zinc finger protein 385B
151174_at,3.8766,uncharacterized LOC151174
151254_at,3.4791,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11"
151258_at,3.821,"solute carrier family 38, member 11"
151300_at,3.6296,uncharacterized LOC151300
151306_at,3.9194,G protein-coupled bile acid receptor 1
151354_at,3.6709,"family with sequence similarity 84, member A"
151531_at,3.5868,uridine phosphorylase 2
151647_at,3.6116,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A4"
151649_at,3.3433,protein phosphatase 2C-like domain containing 1
151651_at,3.2668,"EF-hand domain family, member B"
151658_at,3.5624,uncharacterized LOC151658
151742_at,3.5141,"protein phosphatase, Mg2+/Mn2+ dependent, 1L"
151790_at,3.373,WD repeat domain 49
151871_at,3.7462,developmental pluripotency associated 2
151888_at,3.9718,B and T lymphocyte associated
152024_at,3.54,uncharacterized LOC152024
152065_at,3.7792,chromosome 3 open reading frame 22
152098_at,3.5402,"zinc finger, CW type with PWWP domain 2"
152118_at,3.4766,chromosome 3 open reading frame 79
152225_at,3.4605,uncharacterized LOC152225
152330_at,3.5177,contactin 4
1524_at,3.8274,(C-X3-C motif) receptor 1
152404_at,3.7802,"immunoglobulin superfamily, member 11"
152405_at,3.3992,chromosome 3 open reading frame 30
152573_at,3.6407,shisa homolog 3 (Xenopus laevis)
152578_at,3.6709,uncharacterized LOC152578
152586_at,3.4086,glycosyltransferase 54 domain-containing protein
152742_at,3.6741,uncharacterized LOC152742
152789_at,3.7184,janus kinase and microtubule interacting protein 1
152831_at,3.8,klotho beta
152877_at,3.6403,"family with sequence similarity 53, member A"
152940_at,3.6125,chromosome 4 open reading frame 45
153020_at,3.7331,"RasGEF domain family, member 1B"
153218_at,3.911,"serine peptidase inhibitor, Kazal type 13 (putative)"
153643_at,3.6139,"family with sequence similarity 81, member B"
153657_at,3.4717,tetratricopeptide repeat domain 23-like
153745_at,3.678,"family with sequence similarity 71, member B"
153770_at,3.8364,PLAC8-like 1
1538_at,3.4424,basic protein of sperm head cytoskeleton 1
1539_at,3.4895,basic protein of sperm head cytoskeleton 2
154075_at,3.8491,sterile alpha motif domain containing 3
154089_at,3.6482,uncharacterized protein MGC34034
154197_at,3.8153,poly(A)-specific ribonuclease (PARN)-like domain containing 1
154215_at,3.5016,Na+/K+ transporting ATPase interacting 2
154288_at,3.6778,chromosome 6 open reading frame 221
154442_at,3.9624,chromosome 6 open reading frame 112
154661_at,3.4891,RUN domain containing 3B
154664_at,3.3498,"ATP-binding cassette, sub-family A (ABC1), member 13"
154754_at,3.8265,"protease, serine, 3 pseudogene"
154822_at,3.9722,uncharacterized LOC154822
154865_at,3.5768,IQ motif and ubiquitin domain containing
154872_at,3.928,uncharacterized protein LOC154872
1549_at,3.8625,"P450, family 2, subfamily A, polypeptide 7"
155038_at,3.6931,"GTPase, IMAP family member 8"
1551_at,3.7507,"P450, family 3, subfamily A, polypeptide 7"
155465_at,3.8115,anterior gradient 3 homolog (Xenopus laevis)
1555_at,3.902,"P450, family 2, subfamily B, polypeptide 6"
1558_at,3.4671,"P450, family 2, subfamily C, polypeptide 8"
1562_at,3.7772,"P450, family 2, subfamily C, polypeptide 18"
157273_at,3.8,uncharacterized LOC157273
157310_at,3.9303,phosphatidylethanolamine-binding protein 4
157556_at,3.7778,chromosome 8 open reading frame 56
157724_at,3.7224,"solute carrier family 7 (anionic amino acid transporter), member 13"
157753_at,3.5367,transmembrane protein 74
157773_at,3.6197,chromosome 8 open reading frame 48
157777_at,3.9041,chromosome 8 open reading frame 45
157807_at,3.9022,clavesin 1
157855_at,3.9706,"potassium channel, subfamily U, member 1"
157869_at,3.8025,chromosome 8 open reading frame 84
157983_at,3.8864,chromosome 9 open reading frame 66
158035_at,3.7904,long intergenic non-protein coding RNA 32
158046_at,3.2811,nucleoredoxin-like 2
1581_at,3.7121,"P450, family 7, subfamily A, polypeptide 1"
1582_at,3.974,"P450, family 8, subfamily B, polypeptide 1"
158248_at,3.7946,tetratricopeptide repeat domain 16
158314_at,3.7326,long intergenic non-protein coding RNA 475
158326_at,3.8,FRAS1 related extracellular matrix 1
158381_at,3.4564,"ATPase, class I, type 8B, member 5, pseudogene"
1584_at,3.562,"P450, family 11, subfamily B, polypeptide 1"
158506_at,3.9407,zinc finger protein 645
158521_at,3.3589,fragile X mental retardation 1 neighbor
158696_at,3.611,uncharacterized LOC158696
1587_at,3.558,metallopeptidase domain 3A
158724_at,3.2902,"family with sequence similarity 47, member A"
158763_at,3.6934,Rho GTPase activating protein 36
158798_at,3.4429,A kinase (PRKA) anchor protein 14
1588_at,3.9369,"P450, family 19, subfamily A, polypeptide 1"
158809_at,3.3834,"melanoma antigen family B, 6"
158830_at,3.6301,chromosome X open reading frame 65
158866_at,3.6303,"zinc finger, DHHC-type containing 15"
159162_at,3.487,"RNA binding motif protein, Y-linked, family 2, member F pseudogene"
159686_at,3.5992,coiled-coil domain containing 147
159963_at,3.325,"solute carrier family 5 (sodium/glucose cotransporter), member 12"
159989_at,3.3966,coiled-coil domain containing 67
1600_at,3.6112,homolog 1 (Drosophila)
160065_at,3.5452,prostate and testis expressed 1
1602_at,3.6588,homolog 1 (Drosophila)
160287_at,3.7455,lactate dehydrogenase A-like 6A
160364_at,3.6376,"C-type lectin domain family 12, member A"
160365_at,3.6173,C-type lectin-like 1
160419_at,3.437,chromosome 12 open reading frame 50
1607_at,3.3884,"kinase, beta 90kDa"
160728_at,3.9766,"solute carrier family 5 (iodide transporter), member 8"
160762_at,3.7258,coiled-coil domain containing 63
161357_at,3.3794,MAM domain containing glycosylphosphatidylinositol anchor 2
161394_at,3.8604,sterile alpha motif domain containing 15
161436_at,3.7706,echinoderm microtubule associated protein like 5
161502_at,3.4689,chromosome 15 open reading frame 26
161514_at,3.7822,"TBC1 domain family, member 21"
161635_at,3.4375,"casein kinase 1, alpha 1 pseudogene 1"
1618_at,3.5898,in azoospermia-like
161835_at,3.3456,fibrous sheath interacting protein 1
1620_at,3.8496,in bladder cancer 1
1621_at,3.8688,beta-hydroxylase (dopamine beta-monooxygenase)
162137_at,3.6392,uncharacterized protein MGC34800
162282_at,3.6564,ankyrin-repeat and fibronectin type III domain containing 1
162333_at,3.7689,membrane-associated ring finger (C3HC4) 10
162466_at,3.6895,"phosphatase, orphan 1"
162515_at,3.8545,"solute carrier family 16, member 11 (monocarboxylic acid transporter 11)"
162517_at,3.6818,F-box protein 39
162540_at,3.6191,intramembrane protease 5
162998_at,3.8302,"olfactory receptor, family 7, subfamily D, member 2"
1630_at,3.4499,in colorectal carcinoma
163051_at,3.7906,zinc finger protein 709
163115_at,3.7574,zinc finger protein 781
163227_at,3.5646,zinc finger protein 100
163351_at,3.5526,"guanylate binding protein family, member 6"
163404_at,3.6967,lipid phosphate phosphatase-related protein type 5
163589_at,3.9649,tudor domain containing 5
163720_at,3.904,"cytochrome P450, family 4, subfamily Z, polypeptide 2 pseudogene"
164045_at,3.4751,"HFM1, ATP-dependent DNA helicase homolog (S. cerevisiae)"
1641_at,3.6461,
164127_at,3.4632,chromosome 1 open reading frame 65
164237_at,3.1391,WAP four-disulfide core domain 13
164312_at,3.7656,leucine rich repeat neuronal 4
164380_at,3.6022,cystatin pseudogene
164633_at,3.9699,calcium binding protein 7
165082_at,3.8392,G protein-coupled receptor 113
165100_at,3.9066,chromosome 2 open reading frame 57
165186_at,3.6736,"family with sequence similarity 179, member A"
165631_at,3.6662,"poly (ADP-ribose) polymerase family, member 15"
165679_at,3.9265,"serine palmitoyltransferase, small subunit B"
165721_at,3.7369,"DnaJ (Hsp40) homolog, subfamily B, member 8"
166614_at,3.935,doublecortin-like kinase 2
166752_at,3.4949,FRAS1 related extracellular matrix 3
166863_at,3.4503,RNA binding motif protein 46
1669_at,3.7138,"alpha 4, corticostatin"
167_at,3.6014,cysteine-rich secretory protein 1
1670_at,3.9681,"alpha 5, Paneth cell-specific"
167410_at,3.6021,Lix1 homolog (chicken)
167465_at,3.3151,zinc finger protein 366
167681_at,3.5466,"protease, serine, 35"
167826_at,3.5932,oligodendrocyte transcription factor 3
167838_at,3.7896,taxilin beta
168090_at,3.5414,chromosome 6 open reading frame 118
168391_at,3.5679,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5
168400_at,3.491,DEAD (Asp-Glu-Ala-Asp) box polypeptide 53
168448_at,3.0963,CDC14 cell division cycle 14 homolog C (S. cerevisiae)
168507_at,3.6852,polycystic kidney disease 1 like 1
168537_at,3.3159,"GTPase, IMAP family member 7"
168741_at,3.6283,period homolog 3 (Drosophila) pseudogene
168975_at,3.7472,cyclic nucleotide binding domain containing 1
169044_at,3.8354,"collagen, type XXII, alpha 1"
169166_at,3.5914,sorting nexin 31
169355_at,3.5142,"indoleamine 2,3-dioxygenase 2"
169436_at,3.8817,chromosome 9 open reading frame 96
169522_at,3.533,"potassium channel, subfamily V, member 2"
169693_at,3.6548,chromosome 9 open reading frame 71
169966_at,3.5389,"family with sequence similarity 46, member D"
170062_at,3.5364,"family with sequence similarity 47, member B"
170063_at,3.6074,chromosome X open reading frame 22
170261_at,3.8698,"zinc finger, CCHC domain containing 12"
170370_at,3.6695,"family with sequence similarity 170, member B"
170392_at,3.6716,oncoprotein induced transcript 3
170482_at,3.4556,"C-type lectin domain family 4, member C"
170575_at,3.9464,"GTPase, IMAP family member 1"
170591_at,3.6499,S100 calcium binding protein Z
170685_at,3.8797,nudix (nucleoside diphosphate linked moiety X)-type motif 10
170691_at,3.7735,"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
170692_at,3.8661,"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
170712_at,3.6613,cytochrome c oxidase subunit VIIb2
170961_at,3.602,ankyrin repeat domain 24
171019_at,3.4661,"ADAM metallopeptidase with thrombospondin type 1 motif, 19"
171024_at,3.7755,synaptopodin 2
171169_at,3.8849,sperm acrosome associated 4
171389_at,3.5107,"NLR family, pyrin domain containing 6"
171392_at,3.227,zinc finger protein 675
171482_at,3.8265,"family with sequence similarity 9, member A"
171483_at,3.6325,"family with sequence similarity 9, member B"
171484_at,3.4727,"family with sequence similarity 9, member C"
1720_at,3.5216,reductase pseudogene
173_at,3.8468,afamin
1733_at,3.7623,"iodothyronine, type I"
174_at,3.5623,alpha-fetoprotein
1740_at,3.8142,large homolog 2 (Drosophila)
1749_at,3.7856,homeobox 5
1757_at,3.9097,dehydrogenase
1758_at,3.7612,matrix acidic phosphoprotein 1
1761_at,3.6139,and mab-3 related transcription factor 1
1768_at,3.7441,"axonemal, heavy chain 6"
1791_at,3.7198,terminal
1794_at,3.4917,of cytokinesis 2
1795_at,3.8223,of cytokinesis 3
1800_at,3.8491,1 (renal)
1805_at,3.8335,
1807_at,3.6763,
1809_at,3.7905,3
1811_at,3.5339,"carrier family 26, member 3"
1812_at,3.6036,receptor D1
1814_at,3.544,receptor D3
1815_at,3.7093,receptor D4
1816_at,3.6462,receptor D5
1821_at,3.9477,related protein 2
1826_at,3.8258,syndrome cell adhesion molecule
1828_at,3.7903,1
1833_at,3.5087,
1834_at,3.3962,sialophosphoprotein
185_at,3.6336,"angiotensin II receptor, type 1"
186_at,3.7312,"angiotensin II receptor, type 2"
1879_at,3.6622,B-cell factor 1
1880_at,3.8713,protein-coupled receptor 183
189_at,3.9466,alanine-glyoxylate aminotransferase
1896_at,3.7477,A
190_at,3.8843,"nuclear receptor subfamily 0, group B, member 1"
1908_at,3.7165,3
1909_at,3.7857,receptor type A
1910_at,3.8712,receptor type B
191585_at,3.8761,placenta-specific 4
193629_at,3.4677,long intergenic non-protein coding RNA 189
1959_at,3.6189,growth response 2
1960_at,3.4571,growth response 3
1961_at,3.8964,growth response 4
196374_at,3.7461,keratin 78
196415_at,3.7538,chromosome 12 open reading frame 77
196446_at,3.8267,chromosome 12 open reading frame 28
196472_at,3.6234,"family with sequence similarity 71, member C"
196475_at,3.6758,rhabdomyosarcoma 2 associated transcript (non-protein coding)
196477_at,3.6332,chromosome 12 open reading frame 12
196500_at,3.9346,chromosome 12 open reading frame 53
196541_at,3.5219,methyltransferase like 21C
196740_at,3.8607,V-set and transmembrane domain containing 4
196913_at,3.9396,chromosome 14 open reading frame 183
196951_at,3.7193,chromosome 15 open reading frame 33
197_at,3.9602,alpha-2-HS-glycoprotein
197003_at,3.8004,uncharacterized protein MGC15885
197196_at,3.6988,long intergenic non-protein coding RNA 311
197350_at,3.6317,putative caspase-14-like protein
197358_at,3.9731,"NLR family, CARD domain containing 3"
1991_at,3.765,neutrophil expressed
1995_at,3.9225,"(embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)"
199720_at,3.7322,gametogenetin
199920_at,3.8411,chromosome 1 open reading frame 168
199974_at,3.5494,"cytochrome P450, family 4, subfamily Z, polypeptide 1"
2_at,3.895,alpha-2-macroglobulin
200010_at,3.7406,"solute carrier family 5 (sodium/glucose cotransporter), member 9"
200132_at,3.5099,Tctex1 domain containing 1
200150_at,3.4784,"phospholipase D family, member 5"
200159_at,3.8847,chromosome 1 open reading frame 100
200162_at,3.777,sperm associated antigen 17
200197_at,3.8335,chromosome 1 open reading frame 126
200232_at,3.8141,"family with sequence similarity 209, member A"
200261_at,3.9789,uncharacterized LOC200261
200315_at,3.8194,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"
200373_at,3.8094,primary ciliary dyskinesia protein 1
200403_at,3.6324,von Willebrand factor A domain containing 3B
200523_at,3.7793,chromosome 2 open reading frame 51
200558_at,3.4353,aprataxin and PNKP like factor
200772_at,3.9721,uncharacterized LOC200772
200959_at,3.5022,"gamma-aminobutyric acid (GABA) receptor, rho 3"
201140_at,3.8692,dehydrogenase/reductase (SDR family) member 7C
201243_at,3.5908,chromosome 17 open reading frame 74
201477_at,3.7507,uncharacterized LOC201477
201501_at,3.763,zinc finger and BTB domain containing 7C
2016_at,3.6584,spiracles homeobox 1
201617_at,3.6912,uncharacterized LOC201617
201625_at,3.9757,"dynein, axonemal, heavy chain 12"
201780_at,3.5615,"solute carrier family 10 (sodium/bile acid cotransporter family), member 4"
201798_at,3.6086,tigger transposable element derived 4
202151_at,3.1906,RAN binding protein 3-like
202299_at,3.9624,chromosome 5 open reading frame 27
202309_at,3.6463,"GRB2-binding adaptor protein, transmembrane"
202374_at,3.5443,serine/threonine kinase 32A
202500_at,3.9057,t-complex-associated-testis-expressed 1
202559_at,3.828,"KH domain containing, RNA binding, signal transduction associated 2"
2028_at,3.5284,aminopeptidase (aminopeptidase A)
202865_at,3.7951,chromosome 7 open reading frame 33
203074_at,3.6664,"protease, serine, 55"
203102_at,3.7277,ADAM metallopeptidase domain 32
203413_at,3.5091,chromosome X open reading frame 61
203447_at,3.6926,Nik related kinase
203562_at,3.8952,transmembrane protein 31
203859_at,3.4928,anoctamin 5
2042_at,3.4712,receptor A3
2044_at,3.4446,receptor A5
2045_at,3.4516,receptor A7
2047_at,3.9706,receptor B1
204801_at,3.9769,"NLR family, pyrin domain containing 11"
205147_at,3.9186,family with sequence similarity 123C
205428_at,3.9131,chromosome 3 open reading frame 58
2056_at,3.7652,
206338_at,3.4991,laeverin
206412_at,3.831,chromosome 6 open reading frame 163
2066_at,3.7212,erythroblastic leukemia viral oncogene homolog 4 (avian)
2070_at,3.8843,absent homolog 4 (Drosophila)
2078_at,3.5713,erythroblastosis virus E26 oncogene homolog (avian)
2103_at,3.6461,receptor beta
2104_at,3.9068,receptor gamma
2128_at,3.6975,homeobox 1
213_at,3.4185,albumin
2138_at,3.8861,absent homolog 1 (Drosophila)
2147_at,3.808,factor II (thrombin)
2153_at,3.9392,"factor V (proaccelerin, labile factor)"
2158_at,3.7527,factor IX
2159_at,3.8839,factor X
2165_at,3.3589,"factor XIII, B polypeptide"
2168_at,3.6917,"acid binding protein 1, liver"
2169_at,3.2311,"acid binding protein 2, intestinal"
2173_at,3.619,"acid binding protein 7, brain"
219287_at,3.6444,family with sequence similarity 123A
219348_at,3.716,placenta-specific 9
2194_at,3.4787,acid synthase
219409_at,3.488,GS homeobox 1
219525_at,3.8607,"olfactory receptor, family 5, subfamily AK, member 4 pseudogene"
219527_at,3.5804,leucine rich repeat containing 55
219578_at,3.8815,zinc finger protein 804B
219670_at,3.9433,"enkurin, TRPC channel interacting protein"
219681_at,3.7811,armadillo repeat containing 3
219731_at,3.6148,uncharacterized LOC219731
219790_at,3.7827,rhotekin 2
219793_at,3.7607,chromosome 10 open reading frame 27
219938_at,3.7057,spermatogenesis associated 19
219972_at,3.7924,macrophage expressed 1
219990_at,3.3341,placenta-specific 1-like
219995_at,3.6248,"membrane-spanning 4-domains, subfamily A, member 15"
220001_at,3.9785,von Willebrand factor C and EGF domains
220047_at,3.4736,coiled-coil domain containing 83
220070_at,3.8265,SHANK2 antisense RNA 3 (non-protein coding)
220082_at,3.9473,spermatid associated
220136_at,3.6674,coiled-coil domain containing 11
220164_at,3.3589,docking protein 6
220202_at,3.7504,atonal homolog 7 (Drosophila)
220388_at,3.6754,coiled-coil domain containing 89
2204_at,3.6544,"fragment of IgA, receptor for"
220416_at,3.3375,leucine rich repeat containing 63
2205_at,3.8385,"fragment of IgE, high affinity I, receptor for; alpha polypeptide"
2206_at,3.5691,"4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)"
2208_at,3.8971,"fragment of IgE, low affinity II, receptor for (CD23)"
220965_at,3.5607,"family with sequence similarity 13, member C"
221016_at,3.3275,coiled-coil domain containing 7
221074_at,3.535,"solute carrier family 39 (zinc transporter), member 12"
221091_at,3.6883,LRRN4 C-terminal like
221122_at,3.7446,uncharacterized LOC221122
221223_at,3.9241,carboxylesterase 5A
221241_at,3.3291,long intergenic non-protein coding RNA 305
2213_at,3.9727,"fragment of IgG, low affinity IIb, receptor (CD32)"
221301_at,3.4252,"family with sequence similarity 26, member D"
221336_at,3.7257,BEN domain containing 6
221395_at,3.8785,G protein-coupled receptor 116
221400_at,3.5047,tudor domain containing 6
221458_at,3.6462,kinesin family member 6
221468_at,3.8706,transmembrane protein 217
2215_at,3.674,"fragment of IgG, low affinity IIIb, receptor (CD16b)"
221527_at,3.9093,zinc finger and BTB domain containing 12
221692_at,3.7474,phosphatase and actin regulator 1
221718_at,3.7459,long intergenic non-protein coding RNA 518
221823_at,3.7804,phosphoribosyl pyrophosphate synthetase 1-like 1
221833_at,3.6695,Sp8 transcription factor
221981_at,3.6816,"thrombospondin, type I, domain containing 7A"
2220_at,3.6514,(collagen/fibrinogen domain containing lectin) 2 (hucolin)
222029_at,3.4659,uncharacterized protein DKFZp434L192
222234_at,3.9691,"family with sequence similarity 185, member A"
222235_at,3.8309,F-box and leucine-rich repeat protein 13
222537_at,3.7756,heparan sulfate (glucosamine) 3-O-sulfotransferase 5
222546_at,3.641,"regulatory factor X, 6"
222611_at,3.4733,G protein-coupled receptor 111
222642_at,3.9353,translocator protein 2
222659_at,3.979,"peroxisomal, testis specific 1"
222696_at,3.7021,zinc finger and SCAN domain containing 23
222698_at,3.5712,NFKB activating protein-like
222826_at,3.4854,chromosome 6 open reading frame 146
222950_at,3.6843,neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 1
2242_at,3.9577,sarcoma oncogene
2243_at,3.5581,alpha chain
2244_at,3.8538,beta chain
2246_at,3.88,growth factor 1 (acidic)
2248_at,3.852,growth factor 3
225_at,3.2724,"ATP-binding cassette, sub-family D (ALD), member 2"
2250_at,3.8767,growth factor 5
2252_at,3.7821,growth factor 7
2254_at,3.8911,growth factor 9 (glia-activating factor)
2255_at,3.8566,growth factor 10
2257_at,3.7228,growth factor 12
2258_at,3.8608,growth factor 13
2259_at,3.7456,growth factor 14
2262_at,3.7674,5
22797_at,3.5119,transcription factor EC
22798_at,3.6551,"laminin, beta 4"
22802_at,3.4179,chloride channel accessory 4
22806_at,3.5407,IKAROS family zinc finger 3 (Aiolos)
22829_at,3.3043,"neuroligin 4, Y-linked"
22844_at,3.9383,FERM and PDZ domain containing 1
22854_at,3.6139,netrin G1
22865_at,3.6231,"SLIT and NTRK-like family, member 3"
22866_at,3.7462,connector enhancer of kinase suppressor of Ras 2
22871_at,3.3387,neuroligin 1
22891_at,3.5107,zinc finger protein 365
22899_at,3.7218,Rho guanine nucleotide exchange factor (GEF) 15
229_at,3.6438,"aldolase B, fructose-bisphosphate"
22915_at,3.5937,multimerin 1
22917_at,3.8614,zona pellucida glycoprotein 1 (sperm receptor)
22925_at,3.9718,"phospholipase A2 receptor 1, 180kDa"
22986_at,3.143,sortilin-related VPS10 domain containing receptor 3
22989_at,3.4534,"myosin, heavy chain 15"
2299_at,3.8533,box I1
23007_at,3.695,"phospholipase C, eta 1"
2301_at,3.6939,box E3
23024_at,3.7011,PDZ domain containing ring finger 3
2303_at,3.8124,"box C2 (MFH-1, mesenchyme forkhead 1)"
23040_at,3.6215,myelin transcription factor 1-like
2306_at,3.7172,box D2
2307_at,3.8565,box S1
23101_at,3.5729,MCF.2 cell line derived transforming sequence-like 2
2312_at,3.6168,
23136_at,3.499,erythrocyte membrane protein band 4.1-like 3
2315_at,3.6088,
23194_at,3.6307,F-box and leucine-rich repeat protein 7
23195_at,3.6555,"MDN1, midasin homolog (yeast)"
23208_at,3.8436,synaptotagmin XI
2321_at,3.8277,tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
23213_at,3.745,sulfatase 1
23237_at,3.9251,activity-regulated cytoskeleton-associated protein
2324_at,3.9248,tyrosine kinase 4
23251_at,3.6366,KIAA1024
2326_at,3.8897,containing monooxygenase 1
2327_at,3.5341,containing monooxygenase 2 (non-functional)
2328_at,3.5913,containing monooxygenase 3
23305_at,3.5174,acyl-CoA synthetase long-chain family member 6
23316_at,3.7547,cut-like homeobox 2
2334_at,3.794,"family, member 2"
23349_at,3.9177,KIAA1045
23359_at,3.5794,"family with sequence similarity 189, member A1"
23414_at,3.8858,"zinc finger protein, multitype 2"
23418_at,3.7139,crumbs homolog 1 (Drosophila)
23426_at,3.6513,glutamate receptor interacting protein 1
23439_at,3.6956,"ATPase, Na+/K+ transporting, beta 4 polypeptide"
23440_at,3.6216,orthopedia homeobox
2346_at,3.4523,hydrolase (prostate-specific membrane antigen) 1
23460_at,3.9148,"ATP-binding cassette, sub-family A (ABC1), member 6"
23493_at,3.8796,hairy/enhancer-of-split related with YRPW motif 2
23504_at,3.8949,RIMS binding protein 2
23519_at,3.6271,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member D"
23538_at,3.8216,"olfactory receptor, family 52, subfamily A, member 1"
23539_at,3.7039,"solute carrier family 16, member 8 (monocarboxylic acid transporter 3)"
23547_at,3.7102,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4"
23553_at,3.7323,hyaluronoglucosaminidase 4
23554_at,3.9281,tetraspanin 12
23569_at,3.8855,"peptidyl arginine deiminase, type IV"
23581_at,3.4605,"caspase 14, apoptosis-related cysteine peptidase"
23584_at,3.7838,V-set and immunoglobulin domain containing 2
2359_at,3.9176,peptide receptor 3
23601_at,3.6416,"C-type lectin domain family 5, member A"
23614_at,3.7387,pancreatic polypeptide 2
